link,date_time,original_text,length,geo_hint,engagement_signal,product_hint,stage,primary_breakdown_point,channel,root_cause,emotion,emotion_severity,summary_insight,actionability_score_5,fixability_score_5,evidence_strength
https://twitter.com/uttadosa_GmbH/status/2059319780289712465#m,"May 26, 2026","HDFC ERGO is best but Expensive. ICICI Lombard is generally cheaper than HFDC and claims settlements are as good, benefits are enough. Star & Tata won't even stand a chance to be considered. Bottom line, if your relationship manager is good and helpful, either of them are fine.",278,unknown,1,health,Servicing & Policy Admin,Claims Experience,Agent / Advisor,Product Design or Complexity,Confusion,Medium,"Event: Comparison of health insurance providers. Process: Evaluating ICICI Lombard's cost and claim settlement against HDFC ERGO. Outcome: ICICI Lombard is considered cheaper with adequate benefits, and claims settlement is deemed good.",2,3,Medium
https://twitter.com/Aks_optimistic/status/2059252084336402434#m,"May 26, 2026","Health insurance companies talk about “data privacy” while customers’ policy details are openly circulating in the market.  My HDFC ERGO policy renewal is due on 2nd June, and I’m getting nonstop calls every day from ICICI Lombard, Care, and other insurers. @HDFCERGOGIC @PMOIndia",280,unknown,4,health,Servicing & Policy Admin,Claims Experience,Digital / App / Website,Misrepresentation / Incomplete Explanation,Anger,High,"Event: Policy renewal approaching. Process: Customer is receiving continuous calls from ICICI Lombard and other insurers regarding policy details. Outcome: Customer expresses frustration about data privacy concerns and unsolicited calls, implying a potential data breach or misuse.",3,2,Medium
https://twitter.com/Rohitku2648/status/2058062420216836237#m,"May 23, 2026","@ICICILombard  Very disappointed with ICICI Lombard claim handling. I submitted my scooter on 4 May and fully cooperated, yet I’m still facing repeated queries and delays. This experience has been frustrating and far from the service customers expect. Kindly resolve this issue .",279,unknown,1,unknown,Claims Experience,Claims Handling,Claims / TPA,Process / Documentation Friction,Anger,Medium,"Submitted scooter on 4 May and fully cooperated, yet still facing repeated queries and delays. This experience has been frustrating and far from the service customers expect. Kindly resolve this issue.",3,3,Medium
https://twitter.com/khalsa2016/status/2057805806222164134#m,"May 22, 2026",Policy cancelled: We have processed the cancellation of your Health policy no. 4128i/HSNR/126704947/08/000. The policy is cancelled with no refund as per policy terms and conditions. call us at 18002666. Team ICICI Lombard @ICICIBank_Care @ICICIBank I want my refund immediately,278,unknown,0,health,Servicing & Policy Admin,Policy Cancellation,Unknown,Process / Documentation Friction,Anger,High,Event: Policy cancellation processed. Process: Customer contacted ICICI Lombard for refund. Outcome: Policy cancelled with no refund as per terms and conditions.,2,1,Medium
https://twitter.com/rajat191981/status/2057487728410026218#m,"May 21, 2026","I already purchased the policy and details shared with customer care, so o request you to refund the amount. I am not interested in continuing the policy with icici Lombard as well. Refund the amount with the way received the payment or let me know I'll share an account detail",277,unknown,3,unknown,Early Regret / Exit Intent,Refund Request,Branch / Customer Service,Misrepresentation / Incomplete Explanation,Resignation,Medium,Event: Policy purchased. Process: Customer shared details with customer care and requested a refund. Outcome: Customer is not interested in continuing the policy and wants a refund.,3,2,Medium
https://twitter.com/MangoMan302/status/2057272741687140536#m,"May 21, 2026",@ICICILombard MOT17620913 Claim Rejected By ICICI Lombard. Genuine Claims being rejected by giving generic response. No physical inspection and proper survey of the vehicle. Please don’t purchase policy of ICICI Lombard Broker @pb_care @policybazaar is also not helping,269,unknown,1,motor,Claims Experience,Claims,Agent / Advisor,Misrepresentation / Incomplete Explanation,Anger,High,Claim Rejected By ICICI Lombard. Genuine Claims being rejected by giving generic response. No physical inspection and proper survey of the vehicle.,3,2,Medium
https://twitter.com/kishoritu1434/status/2057101216631627891#m,"May 20, 2026",But No One in your team Answer for the same and I am face this situation from one month   I had buy ICICI Lombard insurance from 2023   And when I claim your team not take single responsibility of this   में सभी को अनुरोध करता हु के  अगर पाॅसिबल है तो किसी और कंपनी से खरीदे,274,unknown,2,unknown,Claims Experience,Claims,Unknown,Process / Documentation Friction,Resignation,High,I had buy ICICI Lombard insurance from 2023 And when I claim your team not take single responsibility of this.,2,1,Low
https://twitter.com/vedant_parab_/status/2057064650651660379#m,"May 20, 2026","Purchased insurance via CRED on 1st May (ICICI Lombard). Paid ₹10,247. KYC & inspection done, yet policy not issued till date.  Following up since 4th May. Every time I’m told to wait 24–48 hrs. It’s now 20th May..no policy, no cancellation, no refund. @CRED_club @CRED_support",277,unknown,3,unknown,Onboarding & Policy Understanding,Servicing & Policy Admin,Digital / App / Website,Process / Documentation Friction,Confusion,High,"Purchased insurance via CRED on 1st May (ICICI Lombard). Paid ₹10,247. KYC & inspection done, yet policy not issued till date. Following up since 4th May. Every time I’m told to wait 24–48 hrs. It’s now 20th May..no policy, no cancellation, no refund.",4,3,Medium
https://twitter.com/rohit_nandurkar/status/2057044727846027547#m,"May 20, 2026","One of the worst experiences with ICICI Lombard cashless health insurance. Our family, including children, was discharged from the hospital but has been waiting since 9 AM for approval. Multiple follow-ups, still no resolution. Extremely disappointing service. @ICICILombard",274,unknown,2,health,Servicing & Policy Admin,Claims Experience,Claims / TPA,Process / Documentation Friction,Confusion,High,"Event: Family discharged from hospital. Process: Waiting since 9 AM for cashless health insurance approval from ICICI Lombard, multiple follow-ups. Outcome: No resolution, extremely disappointing service.",3,3,Medium
https://twitter.com/Policygaido/status/2057001702797267285#m,"May 20, 2026",We regret hearing about your ICICI Lombard claims 226002996500 and 226002997200 rejected after full investigation (docs collected + site visit completed). Post-investigation rejections violate IRDAI due process standards. fairclaims has helped 50+ customers win consumer court appeals. Your claims are valid. DM us.,315,unknown,0,unknown,Servicing & Policy Admin,Claims Experience,Claims / TPA,Process / Documentation Friction,Resignation,High,"Event: ICICI Lombard claims 226002996500 and 226002997200 rejected. Process: Full investigation, docs collected, site visit completed. Outcome: Post-investigation rejections.",3,2,High
