link,date_time,original_text,length,geo_hint,engagement_signal,product_hint,stage,primary_breakdown_point,channel,root_cause,emotion,emotion_severity,summary_insight,actionability_score_5,fixability_score_5,evidence_strength
https://twitter.com/Subbu_Aggarwal/status/2060286065165107246#m,"May 29, 2026","Thank you guys, due to not proper resolution of this claim, I have decided to not renew the claim with your fraud company.  It’s a pity to buy insurance from icici lombard.",172,unknown,1,unknown,Claims Experience,Claims,Unknown,Process / Documentation Friction,Anger,High,"Customer decided to not renew claim with ICICI Lombard due to improper resolution of a claim, calling it a fraud company.",2,1,Low
https://twitter.com/Chilipili/status/2060002351419887888#m,"May 28, 2026","Booked an OPD check up through @ICICILombard take care app. Didn't receive cashless letters until the last moment, from the third party (Visit Healthcare). Finally paid from my pocket. Filed a complaint with ICICI Lombard. Today it's auto-resolved, but I don't know the outcome.",278,unknown,2,health,Claims Experience,Claims,Digital / App / Website,Process / Documentation Friction,Confusion,Medium,"Customer booked an OPD check-up via ICICI Lombard app, did not receive cashless letters, paid from pocket, filed a complaint, and the case was auto-resolved without a clear outcome.",3,3,Medium
https://twitter.com/anilsha61550355/status/2059577559705325910#m,"May 27, 2026",मेरे नाम अनिल शर्मा है मैंने एक नई बाइक निकल वाई है अपाची उसका इंश्योरेंस आपकी ICICI Lombard   से हुआ जिसमे नॉमिनी नाम गलत कर दिया है aneeta Sharma की  जगह anila sharma कर दिया है  कृपया इसको सही कर दें,202,unknown,1,unknown,Servicing & Policy Admin,Process / Documentation Friction,Agent / Advisor,Process / Documentation Friction,Confusion,Medium,"Anil Sharma purchased a new Apache bike, and its insurance was done through ICICI Lombard. The nominee name was incorrectly entered as 'anila sharma' instead of 'aneeta sharma'. He is requesting to correct this. This involves an event (bike purchase and insurance), a process (incorrect nominee entry and request for correction), and an outcome (incorrect nominee name needing correction).",4,4,Medium
https://twitter.com/lokeshteri/status/2059217777395933523#m,"May 26, 2026",@ICICILombard @irdaindia @TRAI @FinMinIndia Dear Icici Lombard you are disturbing me by calling again & again. For resolution you need time but start disturbing instantly. Regulator why this happens you given them relaxation for disturbing people.,247,unknown,0,unknown,Servicing & Policy Admin,Communication,Unknown,Misrepresentation / Incomplete Explanation,Anger,High,"Event: Being disturbed by repeated calls. Process: Requesting resolution from ICICI Lombard, which takes time. Outcome: Instant disturbance despite delays in resolution, leading to a complaint about regulatory relaxation.",3,2,Medium
https://twitter.com/forsubhash/status/2059148782709920225#m,"May 26, 2026","@ICICILombard @ICICIBank_Care @ICICIBank @ICICI_Direct I purchased AN ICICI LOMBARD insurance by August 2025 through online, but it's not reflected anywhere, unable to get solution through bank also,  in CC also.  What to do. I'm still searching for, Mb 9865199969. Plz assist",276,unknown,2,unknown,Onboarding & Policy Understanding,Policy Admin,Digital / App / Website,Misrepresentation / Incomplete Explanation,Confusion,High,"Event: Purchased ICICI Lombard insurance online in August 2025. Process: Policy not reflected anywhere, unable to get a solution through the bank or customer care. Outcome: Still searching for a solution and assistance.",2,2,Medium
https://twitter.com/BRAJESHGQI/status/2059091896048533844#m,"May 26, 2026",Nothing happened. Appointment is given after 5 days of booking date at solo consideration of time and date of availability at a not booked date. All mobile numbers given in the message are either not taking calls or not working. Pathetic ICICI Lombard.,252,unknown,1,unknown,Servicing & Policy Admin,Service Delivery,Branch / Customer Service,Process / Documentation Friction,Anger,High,"Event: Appointment booking for a service. Process: Appointment given 5 days after booking, with mobile numbers provided being unresponsive or not working. Outcome: Pathetic service experience with ICICI Lombard.",2,3,Medium
https://twitter.com/claythoughts/status/2058952040634782028#m,"May 25, 2026","Dear ICICI Lombard,  As requested, I am sharing screenshots captured during the proposal and purchase stage from ICICI Lombard’s official website for vehicle model “ATHER 450 APEX.”  The screenshots clearly show:  * add-on covers being displayed as applicable, * add-ons actively selected during proposal creation, * premium being dynamically calculated based on those selections, * and final payable premium generated accordingly.  The selected covers included:  * IL Smart Assist * Consumables * Tyre & Wheel Rim * Return to Invoice * Battery Protect * Personal Protect Policy * Driving Accessories  This directly contradicts the earlier explanation provided by your team stating that these covers were “not applicable” due to vehicle configuration or system limitations.  Kindly confirm clearly:  1. Whether these add-ons are covered under the issued policy; 2. If yes, issue corrected endorsement immediately; 3. If no, explain why ICICI Lombard’s platform enabled selection and premium collection for unsupported covers.  Regards, Ravi",1040,unknown,0,vehicle,Onboarding & Policy Understanding,Product Offering,Digital / App / Website,Misrepresentation / Incomplete Explanation,Confusion,High,"Event: Proposal and purchase stage for vehicle insurance on ICICI Lombard's website. Process: Add-on covers were displayed as applicable, selected, and premium calculated accordingly, but later contradicted by the team. Outcome: Requesting confirmation if add-ons are covered, for corrected endorsement, or explanation for platform enabling selection and collection for unsupported covers.",4,3,High
https://twitter.com/claythoughts/status/2058950857564336179#m,"May 25, 2026","Dear ICICI Lombard,  Your latest response contradicts the earlier explanation provided by your team stating that the add-on covers were “not applicable” for the vehicle due to configuration/system limitations.  As requested, I am sharing the add-on covers explicitly selected and reflected in the quotation generated through ICICI Lombard’s official platform for vehicle model “ATHER 450 APEX”.  Selected Add-on Covers:  * Road Side Assistance * Tyre Protect * Zero Depreciation (Silver) * Consumables * Return to Invoice * Battery Protect  The quotation documents generated by ICICI Lombard also clearly included:  * add-on premium computation, * total own damage add-on premium, * and enhanced premium payable based on these selections.  This is already supported by the quotation screenshots/documents previously shared with your team.  Further, your earlier communications explicitly stated that these add-ons were “not applicable” due to vehicle configuration and referred to the issue as a “system glitch.” However, your present response now states that the policy was processed “as per proposal stage details.”  These two positions are inconsistent.  Accordingly, I request ICICI Lombard to clearly confirm in writing:  1. Whether the above add-on covers are actually part of the issued policy coverage; 2. If yes, provide revised policy endorsement explicitly reflecting all add-ons; 3. If no, explain why premium was calculated and collected for those add-ons during quotation and proposal generation.  Please treat this as an official request for clarification before further regulatory escalation.  Regards, Ravi",1623,unknown,0,unknown,Servicing & Policy Admin,Policy Admin,Digital / App / Website,Misrepresentation / Incomplete Explanation,Confusion,Medium,"Customer purchased a policy from ICICI Lombard where add-on covers were selected and premium was calculated on the official platform, but later the insurer stated these add-ons were not applicable due to system limitations, creating an inconsistency in their communication and policy processing.",3,3,Medium
https://twitter.com/SanjaySathwara/status/2058923998013202939#m,"May 25, 2026","@ICICILombard Dear ICICI Lombard, Claim No. 220101547442 has been rejected multiple times with the unbelievable reason “Sum Insured Exhausted” without properly checking my policies.    #ClaimIssue",196,unknown,2,unknown,Claims Experience,Claim Rejection,Claims / TPA,Process / Documentation Friction,Betrayal,High,Customer's claim (No. 220101547442) with ICICI Lombard was rejected multiple times with the reason 'Sum Insured Exhausted' without proper verification of policies.,2,2,Medium
https://twitter.com/BIJAY2050/status/2058911150885294415#m,"May 25, 2026",@ICICIBank_Care @ICICILombard Maine icici Lombard health insurance liya hu mai 2 din se customer laga nhi lag thai toll free no enta bada company ek customer care no nhi. Policy sale karte samay 10 no se call karta jb customer kuch query@irdaindia @PMOIndia @FinMinIndia,270,unknown,1,health,Onboarding & Policy Understanding,Customer Service,Bank / Bancassurance,Communication / Language Barrier,Anger,High,"Customer purchased ICICI Lombard health insurance but is unable to connect with customer care for 2 days, finding the toll-free number ineffective and questioning the availability of customer support for a large company.",2,3,Medium
https://twitter.com/Subratp58292090/status/2058791137381687799#m,"May 25, 2026","When, it's 24hrs over. If you are not capable to call to a customer or not capable to receive the call from customer after waiting of 40mins, why are you selling your policy, it's clear fraud.  ICICI Lombard is a fraud insurance services",237,unknown,0,unknown,Claims Experience,Claim Denial,Digital / App / Website,Misrepresentation / Incomplete Explanation,Anger,High,"Customer is frustrated with ICICI Lombard for selling policies when they are allegedly incapable of calling customers or receiving calls after long waits, calling it fraud.",1,1,Low
https://twitter.com/Subratp58292090/status/2058782747339247800#m,"May 25, 2026","What happened it's more than 24hrs, but I m not received any call from fraud ICICI Lombard.",91,unknown,1,unknown,Claims Experience,Claim Denial,Digital / App / Website,Misrepresentation / Incomplete Explanation,Anger,High,"Customer is upset that after more than 24 hours, they have not received a call from ICICI Lombard, whom they refer to as a 'fraud' company.",1,1,Low
https://twitter.com/sasiv76/status/2058773663399481669#m,"May 25, 2026","ICICI Lombard is a fraud company. We took travel insurance from this sick company, they know 100 ways to deny a cliam. Stay away from these crooks",146,unknown,2,travel,Claims Experience,Claim Denial,Claims / TPA,Misrepresentation / Incomplete Explanation,Betrayal,High,"Customer warns others against taking travel insurance from ICICI Lombard, calling it a 'fraud company' and 'crooks' that find '100 ways to deny a claim'.",1,1,Low
https://twitter.com/MurliVijayKrish/status/2058532028765933693#m,"May 24, 2026",It will cover for sure sir! Kindly send an email/call to ICICI Lombard insurance team and confirm the same Or check the coverage hospital and initiate the cashless process after consultation. Thanks,198,unknown,1,health,Claims Experience,Claims,Claims / TPA,Process / Documentation Friction,Confusion,Medium,Event: Hospitalization coverage. Process: Customer asked to email/call ICICI Lombard to confirm coverage and initiate cashless process. Outcome: Implied need for confirmation and initiation of process.,3,3,Medium
https://twitter.com/Subratp58292090/status/2058521748862390396#m,"May 24, 2026","Still now  I have not received any call from your side.  Very worst service.  Don't buy insurance policy from ICICI Lombard, they don't have ontime support.  No option to contact customer care.  Fraud icic",205,unknown,0,unknown,Servicing & Policy Admin,Customer Service,Unknown,Misrepresentation / Incomplete Explanation,Anger,High,"Event: Policy purchase from ICICI Lombard. Process: Customer has not received a call back and cannot contact customer care. Outcome: Worst service, no ontime support, perceived as fraud.",2,2,Medium
